reverse_design_rank,match_rank,candidate_on_off_ratio,candidate_mode,candidate_state_count,required_crossbar_size,required_weight_bits,required_adc_bits,validation_adjusted_score,relative_hardware_cost_proxy,matched_device_id,matched_study_id,matched_family,matched_on_off_ratio,matched_mode,matched_state_count_available,matched_physical_state_count,matched_parameter_source,matched_precision_basis,match_distance,ratio_log10_distance,mode_mismatch,state_count_distance,state_requirement_status,match_class,matched_evidence_coverage_fraction,matched_scenario_status,matched_scenario_reasons
4,2,5.0,ANALOG,0,256,7,8,96.03140939601732,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.39794000867203766,0.39794000867203766,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
4,3,5.0,ANALOG,0,256,7,8,96.03140939601732,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.2041199826559246,1.2041199826559246,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
5,1,2.0,ANALOG,0,256,7,8,96.02246026181818,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.0,0.0,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,EXACT_DESCRIPTOR_MATCH,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
5,2,2.0,ANALOG,0,256,7,8,96.02246026181818,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.39794000867203766,0.39794000867203766,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
5,3,2.0,ANALOG,0,256,7,8,96.02246026181818,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,1.5270812001838778,0.027081200183877885,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
6,1,1.705978,GRADUAL_MULTILEVEL,0,256,7,8,95.99547595473638,2560.0,TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,8.326672684688674e-17,8.326672684688674e-17,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,EXACT_DESCRIPTOR_MATCH,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
6,2,1.705978,GRADUAL_MULTILEVEL,0,256,7,8,95.99547595473638,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.0961377695674733,0.0961377695674733,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
6,3,1.705978,GRADUAL_MULTILEVEL,0,256,7,8,95.99547595473638,2560.0,TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,1.10723,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.18773558195495968,0.18773558195495968,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
7,1,76.0,GRADUAL_MULTILEVEL,0,256,6,8,96.04674550701522,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,EXACT_DESCRIPTOR_MATCH,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
7,2,76.0,GRADUAL_MULTILEVEL,0,256,6,8,96.04674550701522,2560.0,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.22375773942368737,0.22375773942368737,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
7,3,76.0,GRADUAL_MULTILEVEL,0,256,6,8,96.04674550701522,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.5222763947111522,0.02227639471115217,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
8,1,76.827637,GRADUAL_MULTILEVEL,0,256,6,8,96.04674550701522,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,0.004703883447419566,0.004703883447419566,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
8,2,76.827637,GRADUAL_MULTILEVEL,0,256,6,8,96.04674550701522,2560.0,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.22846162287110716,0.22846162287110716,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
8,3,76.827637,GRADUAL_MULTILEVEL,0,256,6,8,96.04674550701522,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.5175725112637324,0.017572511263732382,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
9,1,2.02898,ANALOG,0,256,7,8,96.02246026181818,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.00624777047609365,0.00624777047609365,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
9,2,2.02898,ANALOG,0,256,7,8,96.02246026181818,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.391692238195944,0.391692238195944,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
9,3,2.02898,ANALOG,0,256,7,8,96.02246026181818,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,1.5208334297077841,0.020833429707784235,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
10,1,76.827637,ANALOG,0,256,6,8,96.04961233607504,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.017572511263732382,0.017572511263732382,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
10,2,76.827637,ANALOG,0,256,6,8,96.04961233607504,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.1865474713921924,1.1865474713921924,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
10,3,76.827637,ANALOG,0,256,6,8,96.04961233607504,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,1.5047038834474196,0.004703883447419566,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
11,1,2.02898,GRADUAL_MULTILEVEL,0,256,7,8,96.01696408721502,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.020833429707784235,0.020833429707784235,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
11,2,2.02898,GRADUAL_MULTILEVEL,0,256,7,8,96.01696408721502,2560.0,TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.07530433985968915,0.07530433985968915,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
11,3,2.02898,GRADUAL_MULTILEVEL,0,256,7,8,96.01696408721502,2560.0,TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,1.10723,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.26303992181464875,0.26303992181464875,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
12,1,80.0,GRADUAL_MULTILEVEL,0,256,6,8,96.05311331653904,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,0.022276394711151948,0.022276394711151948,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
12,2,80.0,GRADUAL_MULTILEVEL,0,256,6,8,96.05311331653904,2560.0,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.24603413413483954,0.24603413413483954,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
12,3,80.0,GRADUAL_MULTILEVEL,0,256,6,8,96.05311331653904,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.5,0.0,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
13,1,76.0,ANALOG,0,256,6,8,96.04961233607504,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.02227639471115217,0.02227639471115217,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
13,2,76.0,ANALOG,0,256,6,8,96.04961233607504,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.1818435879447726,1.1818435879447726,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
13,3,76.0,ANALOG,0,256,6,8,96.04961233607504,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,1.5000000000000002,2.220446049250313e-16,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
14,1,2.128684,ANALOG,0,256,7,8,96.03803933252526,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.027081200183877885,0.027081200183877885,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
14,2,2.128684,ANALOG,0,256,7,8,96.03803933252526,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.3708588084881598,0.3708588084881598,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
14,3,2.128684,ANALOG,0,256,7,8,96.03803933252526,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,1.5,0.0,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
15,1,2.0,GRADUAL_MULTILEVEL,0,256,7,8,96.01696408721502,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.027081200183877885,0.027081200183877885,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
15,2,2.0,GRADUAL_MULTILEVEL,0,256,7,8,96.01696408721502,2560.0,TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.0690565693835955,0.0690565693835955,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
15,3,2.0,GRADUAL_MULTILEVEL,0,256,7,8,96.01696408721502,2560.0,TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,1.10723,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.2567921513385551,0.2567921513385551,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
16,1,41.92543,GRADUAL_MULTILEVEL,0,256,6,8,96.04297186415808,2560.0,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,0.034578327299444656,0.034578327299444656,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
16,2,41.92543,GRADUAL_MULTILEVEL,0,256,6,8,96.04297186415808,2560.0,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,0,0,normalized_from_ratio,IDEALIZED_GRADUAL_MAPPING,0.25833606672313225,0.25833606672313225,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
16,3,41.92543,GRADUAL_MULTILEVEL,0,256,6,8,96.04297186415808,2560.0,TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2.128684,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,1.2943663297098003,1.2943663297098003,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
17,1,1.705978,ANALOG,0,256,7,8,96.00400774838718,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.06905656938359542,0.06905656938359542,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
17,2,1.705978,ANALOG,0,256,7,8,96.00400774838718,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.4669965780556331,0.4669965780556331,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
17,3,1.705978,ANALOG,0,256,7,8,96.00400774838718,2560.0,TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,1.705978,GRADUAL_MULTILEVEL,0,0,absolute,IDEALIZED_GRADUAL_MAPPING,1.5,8.326672684688674e-17,1.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized
18,1,3.718072,ANALOG,0,256,7,8,96.03140939601732,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.12865220876029704,0.12865220876029704,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
18,2,3.718072,ANALOG,0,256,7,8,96.03140939601732,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.2692877999117406,0.2692877999117406,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
18,3,3.718072,ANALOG,0,256,7,8,96.03140939601732,2560.0,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,1.3327721914162218,1.3327721914162218,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,LARGE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
19,1,6.813303,ANALOG,0,256,7,8,96.03140939601732,2560.0,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.13438769889985946,0.13438769889985946,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,VERY_CLOSE_EXISTING_PROFILE,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
19,2,6.813303,ANALOG,0,256,7,8,96.03140939601732,2560.0,HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2.0,ANALOG,0,0,normalized_from_ratio,IDEALIZED_ANALOG_MAPPING,0.5323277075718971,0.5323277075718971,0.0,0.0,NOT_REQUIRED_OR_UNKNOWN,MODERATE_GAP,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized
