future_research_rank,research_tier,candidate_on_off_ratio,candidate_mode,candidate_state_count,crossbar_size,requested_weight_bits,adc_bits,predicted_accuracy,historical_mean_abs_error_pp,validation_adjusted_score,accuracy_margin_pp,relative_hardware_cost_proxy,matched_device_id,matched_study_id,matched_family,matched_on_off_ratio,matched_mode,match_class,match_distance,matched_evidence_coverage_fraction,matched_scenario_status,matched_scenario_reasons,experimental_direction,is_material_identity_prediction,is_structure_prediction,requires_new_experimental_validation
11,TIER_B_MODERATE_GAP,257.986731,ANALOG,0,256,6,8,96.2769628968254,0.2188801797979797,96.05808271702742,0.5580827170274176,2560,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,MODERATE_GAP,0.5085073825306947,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore an analog-switching device region near ON/OFF≈257.987, using TiOx_03 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
12,TIER_B_MODERATE_GAP,257.986731,GRADUAL_MULTILEVEL,0,256,6,8,96.271993496337,0.2188801797979797,96.05311331653904,0.5531133165390258,2560,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,MODERATE_GAP,0.5307837772418467,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈257.987, using TiOx_04 as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
13,TIER_B_MODERATE_GAP,22.879029,ANALOG,0,256,6,8,96.25850556349204,0.2188801797979797,96.03962538369407,0.539625383694073,2560,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,MODERATE_GAP,0.5436523982035795,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore an analog-switching device region near ON/OFF≈22.879, using TiOx_03 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
14,TIER_B_MODERATE_GAP,1000.0,DISCRETE_MULTILEVEL,8,256,4,8,96.03978975829726,0.2036597221212104,95.83613003617604,0.3361300361760442,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,MODERATE_GAP,0.5600796964158319,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈1000 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
15,TIER_B_MODERATE_GAP,12.485261,GRADUAL_MULTILEVEL,0,256,7,8,96.24129443650794,0.2082744928715715,96.03301994363638,0.5330199436363756,2560,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,MODERATE_GAP,0.560658227301096,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈12.4853, using HfOx_01 as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
16,TIER_B_MODERATE_GAP,2909.09,DISCRETE_MULTILEVEL,16,256,7,8,96.1474980873016,0.2082744928715715,95.93922359443002,0.4392235944300182,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,MODERATE_GAP,0.5963225389711979,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈2909.09 with about 16 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
17,TIER_B_MODERATE_GAP,866.31785,DISCRETE_MULTILEVEL,8,256,4,8,96.03978975829726,0.2036597221212104,95.83613003617604,0.3361300361760442,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,MODERATE_GAP,0.6224024335271154,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈866.318 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
18,TIER_B_MODERATE_GAP,472.75629,ANALOG,0,256,6,8,96.2762678968254,0.2188801797979797,96.0573877170274,0.5573877170274102,2560,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,MODERATE_GAP,0.7715473288310426,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore an analog-switching device region near ON/OFF≈472.756, using TiOx_03 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
19,TIER_B_MODERATE_GAP,472.75629,GRADUAL_MULTILEVEL,0,256,6,8,96.27186321062273,0.2188801797979797,96.05298303082472,0.5529830308247341,2560,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,MODERATE_GAP,0.7938237235421945,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈472.756, using TiOx_04 as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
20,TIER_B_MODERATE_GAP,1587.512707,DISCRETE_MULTILEVEL,16,256,7,8,96.1474980873016,0.2082744928715715,95.93922359443002,0.4392235944300182,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,MODERATE_GAP,0.8593624861948765,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈1587.51 with about 16 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
21,TIER_B_MODERATE_GAP,472.75629,DISCRETE_MULTILEVEL,8,256,4,8,96.03978975829726,0.2036597221212104,95.83613003617604,0.3361300361760442,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,MODERATE_GAP,0.8854423805928457,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈472.756 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
22,TIER_C_HIGH_EXTRAPOLATION,866.31785,ANALOG,0,256,6,8,96.2762678968254,0.2188801797979797,96.0573877170274,0.5573877170274102,2560,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,LARGE_GAP,1.034587275896773,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore an analog-switching device region near ON/OFF≈866.318, using TiOx_03 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
23,TIER_C_HIGH_EXTRAPOLATION,866.31785,GRADUAL_MULTILEVEL,0,256,6,8,96.27186321062273,0.2188801797979797,96.05298303082472,0.5529830308247341,2560,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,LARGE_GAP,1.0568636706079249,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈866.318, using TiOx_04 as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
24,TIER_C_HIGH_EXTRAPOLATION,1000.0,DISCRETE_MULTILEVEL,16,256,7,8,96.1474980873016,0.2082744928715715,95.93922359443002,0.4392235944300182,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.060079696415832,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈1000 with about 16 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
25,TIER_C_HIGH_EXTRAPOLATION,1000.0,ANALOG,0,256,6,8,96.2762678968254,0.2188801797979797,96.0573877170274,0.5573877170274102,2560,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,LARGE_GAP,1.0969100130080565,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore an analog-switching device region near ON/OFF≈1000, using TiOx_03 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
26,TIER_C_HIGH_EXTRAPOLATION,1000.0,GRADUAL_MULTILEVEL,0,256,6,8,96.27186321062273,0.2188801797979797,96.05298303082472,0.5529830308247341,2560,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,LARGE_GAP,1.1191864077192084,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈1000, using TiOx_04 as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
27,TIER_C_HIGH_EXTRAPOLATION,866.31785,DISCRETE_MULTILEVEL,16,256,7,8,96.1474980873016,0.2082744928715715,95.93922359443002,0.4392235944300182,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.1224024335271154,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈866.318 with about 16 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
28,TIER_C_HIGH_EXTRAPOLATION,257.986731,DISCRETE_MULTILEVEL,8,256,4,8,96.03893246753246,0.2036597221212104,95.83527274541125,0.3352727454112454,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.1484823268931936,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈257.987 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
29,TIER_C_HIGH_EXTRAPOLATION,1587.512707,ANALOG,0,256,6,8,96.2762678968254,0.2188801797979797,96.0573877170274,0.5573877170274102,2560,TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,80.0,ANALOG,LARGE_GAP,1.2976272232290118,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore an analog-switching device region near ON/OFF≈1587.51, using TiOx_03 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
30,TIER_C_HIGH_EXTRAPOLATION,1587.512707,GRADUAL_MULTILEVEL,0,256,6,8,96.27186321062273,0.2188801797979797,96.05298303082472,0.5529830308247341,2560,TiOx_04,10.1007/s42835-019-00107-y,TiOx,76.0,GRADUAL_MULTILEVEL,LARGE_GAP,1.3199036179401638,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore gradual-multilevel switching near ON/OFF≈1587.51, using TiOx_04 as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
31,TIER_C_HIGH_EXTRAPOLATION,472.75629,DISCRETE_MULTILEVEL,16,256,7,8,96.1474980873016,0.2082744928715715,95.93922359443002,0.4392235944300182,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.3854423805928455,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈472.756 with about 16 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
32,TIER_C_HIGH_EXTRAPOLATION,140.785336,DISCRETE_MULTILEVEL,8,256,4,8,96.03893246753246,0.2036597221212104,95.83527274541125,0.3352727454112454,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.4115222747485008,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈140.785 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
33,TIER_C_HIGH_EXTRAPOLATION,2909.09,ANALOG,0,256,6,8,96.2762678968254,0.2188801797979797,96.0573877170274,0.5573877170274102,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.5,1.0,LITERATURE_CONSTRAINED,none,"Explore an analog-switching device region near ON/OFF≈2909.09, using TaOx_01 only as the nearest literature anchor. Experimentally verify analog update behavior, absolute conductance, variability and retention before accelerator claims.",False,False,True
34,TIER_C_HIGH_EXTRAPOLATION,2909.09,GRADUAL_MULTILEVEL,0,256,6,8,96.27186321062273,0.2188801797979797,96.05298303082472,0.5529830308247341,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.5,1.0,LITERATURE_CONSTRAINED,none,"Explore gradual-multilevel switching near ON/OFF≈2909.09, using TaOx_01 as the nearest literature anchor. Preserve gradual conductance tuning while experimentally checking absolute RON/ROFF, update linearity, variability and retention.",False,False,True
35,TIER_C_HIGH_EXTRAPOLATION,257.986731,DISCRETE_MULTILEVEL,16,256,7,8,96.14648303968252,0.2082744928715715,95.93820854681096,0.4382085468109551,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.6484823268931936,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈257.987 with about 16 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
36,TIER_C_HIGH_EXTRAPOLATION,80.0,DISCRETE_MULTILEVEL,8,256,4,8,96.03893246753246,0.2036597221212104,95.83527274541125,0.3352727454112454,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.6569897094238883,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈80 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
37,TIER_C_HIGH_EXTRAPOLATION,76.827637,DISCRETE_MULTILEVEL,8,256,4,8,96.0563824011544,0.2036597221212104,95.85272267903318,0.3527226790331781,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.6745622206876207,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈76.8276 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
38,TIER_C_HIGH_EXTRAPOLATION,76.0,DISCRETE_MULTILEVEL,8,256,4,8,96.0563824011544,0.2036597221212104,95.85272267903318,0.3527226790331781,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.6792661041350403,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈76 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
39,TIER_C_HIGH_EXTRAPOLATION,45.4,DISCRETE_MULTILEVEL,8,256,4,8,96.06307994444444,0.2036597221212104,95.85942022232322,0.359420222323223,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.903023843558728,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈45.4 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
40,TIER_C_HIGH_EXTRAPOLATION,140.785336,DISCRETE_MULTILEVEL,16,256,7,8,96.14648303968252,0.2082744928715715,95.93820854681096,0.4382085468109551,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.9115222747485008,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈140.785 with about 16 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
41,TIER_C_HIGH_EXTRAPOLATION,41.92543,DISCRETE_MULTILEVEL,8,256,4,8,96.06307994444444,0.2036597221212104,95.85942022232322,0.359420222323223,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,1.9376021708581723,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈41.9254 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
42,TIER_C_HIGH_EXTRAPOLATION,80.0,DISCRETE_MULTILEVEL,16,256,7,8,96.14648303968252,0.2082744928715715,95.93820854681096,0.4382085468109551,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,2.1569897094238883,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈80 with about 16 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
43,TIER_C_HIGH_EXTRAPOLATION,76.827637,DISCRETE_MULTILEVEL,16,256,7,8,96.1449958015873,0.2082744928715715,95.93672130871572,0.4367213087157324,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,2.174562220687621,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈76.8276 with about 16 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
44,TIER_C_HIGH_EXTRAPOLATION,76.0,DISCRETE_MULTILEVEL,16,256,7,8,96.1449958015873,0.2082744928715715,95.93672130871572,0.4367213087157324,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,2.1792661041350403,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈76 with about 16 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
45,TIER_C_HIGH_EXTRAPOLATION,22.879029,DISCRETE_MULTILEVEL,8,256,4,8,96.06307994444444,0.2036597221212104,95.85942022232322,0.359420222323223,2560,TaOx_01,10.1038/s41598-017-18329-3,TaOx,2909.09,DISCRETE_MULTILEVEL,LARGE_GAP,2.200642107627468,1.0,LITERATURE_CONSTRAINED,none,"Explore a discrete-multilevel device near ON/OFF≈22.879 with about 8 stable states. Nearest literature anchor: TaOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
46,TIER_C_HIGH_EXTRAPOLATION,45.4,DISCRETE_MULTILEVEL,16,256,7,8,96.14325778571428,0.2082744928715715,95.93498329284272,0.4349832928427162,2560,HfOx_01,10.1109/TNANO.2024.3485213,HfOx,45.4,GRADUAL_MULTILEVEL,LARGE_GAP,2.25,0.5,ASSUMPTION_SENSITIVE,fixed physical state count not reported; accelerator mapping is idealized,"Explore a discrete-multilevel device near ON/OFF≈45.4 with about 16 stable states. Nearest literature anchor: HfOx_01. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
47,TIER_C_HIGH_EXTRAPOLATION,5.0,DISCRETE_MULTILEVEL,16,256,7,8,96.13956578571428,0.2082744928715715,95.93129129284272,0.4312912928427153,2560,HfOx_02,10.1088/2634-4386/ac7327,HfOx,5.0,ANALOG,LARGE_GAP,2.25,0.25,ASSUMPTION_SENSITIVE,absolute RON/ROFF unavailable; normalized from ratio; fixed physical state count not reported; accelerator mapping is idealized,"Explore a discrete-multilevel device near ON/OFF≈5 with about 16 stable states. Nearest literature anchor: HfOx_02. The state count must be demonstrated experimentally; verify state separation, programming repeatability, retention and variability.",False,False,True
